1650284900   Words were given.
Words:  nhbutg7g8uj8uh7tf6esedfuj , buyniuhutg7tfg7yh9ju9ik0
1650284900   Vector created.
1650284900   29 0  skip 
1650284900   28 1  skip 
1650284900   27 2  skip 
1650284900   26 3  skip 
1650284900   25 4  skip 
1650284900   25 4  value: 23
1650284900   24 5  skip 
1650284900   24 5  value: 22
1650284900   23 6  skip 
1650284900   23 6  value: 20
1650284900   22 7  skip 
1650284900   22 7  value: 18
1650284900   21 8  skip 
1650284900   21 8  value: 17
1650284900   20 9  skip 
1650284900   20 9  value: 15
1650284900   19 10  skip 
1650284900   19 10  value: 14
1650284900   18 11  skip 
1650284900   18 11  value: 13
1650284900   17 12  skip 
1650284900   17 12  value: 12
1650284900   16 13  skip 
1650284900   16 13  value: 12
1650284900   15 14  skip 
1650284900   15 14  value: 13
1650284900   14 15  skip 
1650284900   14 15  value: 13
1650284900   13 16  skip 
1650284900   13 16  value: 12
1650284900   12 17  skip 
1650284900   12 17  value: 12
1650284900   11 18  skip 
1650284900   11 18  value: 12
1650284900   10 19  skip 
1650284900   10 19  value: 13
1650284900   9 20  skip 
1650284900   9 20  value: 14
1650284900   8 21  skip 
1650284900   8 21  value: 15
1650284900   7 22  skip 
1650284900   7 22  value: 17
1650284900   6 23  skip 
1650284900   6 23  value: 19
1650284900   5 24  skip 
1650284900   5 24  value: 21
1650284900   4 25  skip 
1650284900   3 26  skip 
1650284900   2 27  skip 
1650284900   1 28  skip 
1650284900   0 29  skip 
1650284900   30 0  skip 
1650284900   29 1  skip 
1650284900   28 2  skip 
1650284900   27 3  skip 
1650284900   26 4  skip 
1650284900   25 5  skip 
1650284900   25 5  value: 23
1650284900   24 6  skip 
1650284900   24 6  value: 21
1650284900   23 7  skip 
1650284900   23 7  value: 19
1650284900   22 8  skip 
1650284900   22 8  value: 18
1650284900   21 9  skip 
1650284900   21 9  value: 16
1650284900   20 10  skip 
1650284900   20 10  value: 15
1650284900   19 11  skip 
1650284900   19 11  value: 14
1650284900   18 12  skip 
1650284900   18 12  value: 13
1650284900   17 13  skip 
1650284900   17 13  value: 11
1650284900   16 14  skip 
1650284900   16 14  value: 13
1650284900   15 15  skip 
1650284900   15 15  value: 13
1650284900   14 16  skip 
1650284900   14 16  value: 13
1650284900   13 17  skip 
1650284900   13 17  value: 12
1650284900   12 18  skip 
1650284900   12 18  value: 12
1650284900   11 19  skip 
1650284900   11 19  value: 12
1650284900   10 20  skip 
1650284900   10 20  value: 13
1650284900   9 21  skip 
1650284900   9 21  value: 15
1650284900   8 22  skip 
1650284900   8 22  value: 16
1650284900   7 23  skip 
1650284900   7 23  value: 18
1650284900   6 24  skip 
1650284900   6 24  value: 20
1650284900   5 25  skip 
1650284900   4 26  skip 
1650284900   3 27  skip 
1650284900   2 28  skip 
1650284900   1 29  skip 
1650284900   0 30  skip 
1650284900   31 0  skip 
1650284900   30 1  skip 
1650284900   29 2  skip 
1650284900   28 3  skip 
1650284900   27 4  skip 
1650284900   26 5  skip 
1650284900   25 6  skip 
1650284900   25 6  value: 22
1650284900   24 7  skip 
1650284900   24 7  value: 20
1650284900   23 8  skip 
1650284900   23 8  value: 19
1650284900   22 9  skip 
1650284900   22 9  value: 17
1650284900   21 10  skip 
1650284900   21 10  value: 16
1650284900   20 11  skip 
1650284900   20 11  value: 15
1650284900   19 12  skip 
1650284900   19 12  value: 14
1650284900   18 13  skip 
1650284900   18 13  value: 12
1650284900   17 14  skip 
1650284900   17 14  value: 12
1650284900   16 15  skip 
1650284900   16 15  value: 14
1650284900   15 16  skip 
1650284900   15 16  value: 14
1650284900   14 17  skip 
1650284900   14 17  value: 12
1650284900   13 18  skip 
1650284900   13 18  value: 13
1650284900   12 19  skip 
1650284900   12 19  value: 13
1650284900   11 20  skip 
1650284900   11 20  value: 13
1650284900   10 21  skip 
1650284900   10 21  value: 14
1650284900   9 22  skip 
1650284900   9 22  value: 16
1650284900   8 23  skip 
1650284900   8 23  value: 17
1650284900   7 24  skip 
1650284900   7 24  value: 19
1650284900   6 25  skip 
1650284900   5 26  skip 
1650284900   4 27  skip 
1650284900   3 28  skip 
1650284900   2 29  skip 
1650284900   1 30  skip 
1650284900   0 31  skip 
1650284900   32 0  skip 
1650284900   31 1  skip 
1650284900   30 2  skip 
1650284900   29 3  skip 
1650284900   28 4  skip 
